Mnemonic,Category,V operands,G operands,Description,Src Type,Dst Type (dst_width = src_width),Dst Type (dst_width = 2*src_width),Dst Type (dst_width = src_width / 2),"Dst Vector/Scalar Behavior: vector src,  scalar dst (instruction mask bits = 00, or scalar shape when vtypes is enabled)","Dst Scalar/Vector Behavior: vector dst,  scalar src"
VADD,arith,2,0,add,"S/U,F","S/U,F",S/U,ILLEGAL,Reduction,Splat
VADDI,arith,1,0,add immediate,S/U,S/U,S/U,ILLEGAL,Reduction,Splat
VSUB,arith,2,0,subtract,"S/U,F","S/U,F",S/U,ILLEGAL,First Element,Splat
VNEG,arith,1,0,negate,"S/U,F","S/U,F",S/U,ILLEGAL,First Element,Splat
VSEQ,compare,2,0,"1 if ==, else 0","S/U,F",ן,I,ILLEGAL,First Element,Splat
VSGE,compare,2,0,"1 if >=, else 0","S/U,F",I,I,ILLEGAL,First Element,Splat
VSLT,compare,2,0,"1 if <, else 0","S/U,F",ן,I,ILLEGAL,First Element,Splat
VSNE,compare,2,0,"1 if <>, else 0","S/U,F",ן,I,ILLEGAL,First Element,Splat
VCVT,convert,1,1,convert type,"S/U,F","F,S/U",ILLEGAL,ILLEGAL,First Element,Splat
VSGNJ,copy/sign,2,0,FP sign injection,F,F,ILLEGAL,ILLEGAL,First Element,Splat
VSGNJN,copy/sign,2,0,FP inverted sign injection,F,F,ILLEGAL,ILLEGAL,First Element,Splat
VSGNJX,copy/sign,2,0,FP xor sign,F,F,ILLEGAL,ILLEGAL,First Element,Splat
VDIV,divsqrt,2,0,divide,"S/U,F","S/U,F",ILLEGAL,ILLEGAL,First Element,Splat
VREM,divsqrt,2,0,partial remainder,"S/U,F","S/U,F",ILLEGAL,ILLEGAL,First Element,Splat
VSQRT,divsqrt,1,0,square root,F,F,ILLEGAL,ILLEGAL,First Element,Splat
VCLASS,identify FP,1,0,"FP value class (e.g., 0, inf)",F,F,ILLEGAL,ILLEGAL,First Element,Splat
VL,load,0,1,load vector (unit stride),I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
VLS,load,0,2,load vector (stride),I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
VLX,load,1,1,load vector indexed (gather),I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
VLO,load,0,1,load vector ordered,I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
VMADD,multiply-add,3,0,Multiply add,"S/U,F","S/U,F","I,F",ILLEGAL,Reduction,Splat
VMSUB,multiply-add,3,0,Multiply subtract,"S/U,F","S/U,F","I,F",ILLEGAL,Reduction,Splat
VMUL,multiply-add,2,0,Multiply,"S/U,F","S/U,F","S/U,F",ILLEGAL,Reduction,Splat
VMULH,multiply-add,2,0,Multiply - return high half,S/U,S/U,ILLEGAL,S/U,Reduction,Splat
VNMADD,multiply-add,3,0,negated multiply add,"S/U,F","S/U,F","S/U,F",ILLEGAL,Reduction,Splat
VNMSUB,multiply-add,3,0,negated multiply sub,"S/U,F","S/U,F","S/U,F",ILLEGAL,ILLEGAL,Splat
VMAX,select,2,0,return max element,"S/U,F","S/U,F",ILLEGAL,ILLEGAL,Reduction,Splat
VMIN,select,2,0,return min element,"S/U,F","S/U,F",ILLEGAL,ILLEGAL,Reduction,Splat
VREDSUM,reduction,1,0,sum reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VREDMIN,reduction,1,0,min reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VREDMAX,reduction,1,0,max reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VREDAND,reduction,1,0,and reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VREDOR,reduction,1,0,or reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VREDXOR,reduction,1,0,xor reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VS,store,1,1,store vector (unit stride),I,"B,F",ILLEGAL,ILLEGAL,First Element,Splat
VSS,store,1,2,store vector (stride),I,"B,F",ILLEGAL,ILLEGAL,First Element,Write a single value
VSX,store,2,1,store vector indexed (scatter),I,"B,F",ILLEGAL,ILLEGAL,First Element,Write a single value
VSO,store,1,1,store vector ordered,I,"B,F",ILLEGAL,ILLEGAL,First Element,Write a single value
VAMOADD,xAtomic:arith,2,0,Atomic: VAdd,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
VAMOAND,xAtomic:logical,2,0,Atomic: AND,B,B,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
VAMOOR,xAtomic:logical,2,0,Atomic: OR,B,B,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
VAMOXOR,xAtomic:logical,2,0,Atomic: XOR,B,B,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
VAMOMAX,xAtomic:select,2,0,Atomic: Vmax,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
VAMOMIN,xAtomic:select,2,0,Atomic: VMin,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
VAMOSWAP,xAtomic:swap,2,0,Atomic: VSwap,B,B,ILLEGAL,ILLEGAL,First Element,ILLEGAL
